,Timestamp,PowerConsumption1,PowerConsumption2,PowerConsumption3
0,2022-01-22T08:47:40.288Z,41.8,152.0,151.3
1,2022-01-22T08:47:50.555Z,40.9,159.9,145.7
2,2022-01-22T08:48:00.743Z,47.1,166.8,171.5
3,2022-01-22T08:48:11.403Z,40.9,149.4,151.0
4,2022-01-22T08:48:21.622Z,39.6,264.4,153.3
5,2022-01-22T08:48:31.802Z,40.4,198.0,149.6
6,2022-01-22T08:48:41.964Z,40.0,197.8,156.6
7,2022-01-22T08:48:52.169Z,40.2,157.6,156.6
8,2022-01-22T08:49:02.327Z,39.9,159.0,149.2
9,2022-01-22T08:49:12.594Z,39.4,162.4,164.5
10,2022-01-22T08:49:22.814Z,39.3,148.6,140.8
11,2022-01-22T08:49:33.003Z,39.1,194.7,143.7
12,2022-01-22T08:49:43.223Z,39.9,165.6,144.4
13,2022-01-22T08:49:53.428Z,39.8,156.0,156.9
14,2022-01-22T08:50:03.603Z,39.3,154.6,160.4
15,2022-01-22T08:50:13.808Z,39.4,174.3,142.5
16,2022-01-22T08:50:24.02Z,39.4,153.8,156.3
17,2022-01-22T08:50:34.242Z,39.8,151.2,142.1
18,2022-01-22T08:50:44.43Z,39.3,159.1,140.9
19,2022-01-22T08:50:54.713Z,39.3,153.5,145.0
20,2022-01-22T08:51:04.872Z,41.4,166.9,165.2
21,2022-01-22T08:51:15.079Z,39.9,156.5,195.1
22,2022-01-22T08:51:25.253Z,40.0,163.1,165.5
23,2022-01-22T08:51:35.41Z,39.5,152.5,190.3
24,2022-01-22T08:51:45.583Z,39.9,174.7,225.3
25,2022-01-22T08:51:55.773Z,39.5,157.1,163.0
26,2022-01-22T08:52:05.947Z,39.7,145.2,154.1
27,2022-01-22T08:52:16.105Z,39.6,170.6,144.2
28,2022-01-22T08:52:26.34Z,39.4,160.8,174.2
29,2022-01-22T08:52:36.549Z,39.5,150.7,199.6
30,2022-01-22T08:52:46.707Z,61.5,165.9,202.7
31,2022-01-22T08:52:56.927Z,42.5,159.2,148.3
32,2022-01-22T08:53:07.131Z,40.6,153.7,159.4
33,2022-01-22T08:53:17.304Z,40.1,160.4,183.1
34,2022-01-22T08:53:27.464Z,68.7,156.8,142.2
35,2022-01-22T08:53:37.656Z,40.6,154.6,147.2
36,2022-01-22T08:53:47.847Z,44.2,156.7,149.0
37,2022-01-22T08:53:58.051Z,83.4,153.2,180.5
38,2022-01-22T08:54:08.24Z,60.2,175.8,168.3
39,2022-01-22T08:54:18.445Z,43.8,160.0,148.5
40,2022-01-22T08:54:28.587Z,44.9,159.5,141.7
41,2022-01-22T08:54:38.776Z,42.0,180.5,158.0
42,2022-01-22T08:54:48.996Z,42.6,172.8,158.0
43,2022-01-22T08:54:59.262Z,41.7,157.5,147.1
44,2022-01-22T08:55:09.421Z,77.8,161.3,157.0
45,2022-01-22T08:55:19.64Z,66.9,155.2,172.1
46,2022-01-22T08:55:29.846Z,60.2,173.1,161.6
47,2022-01-22T08:55:40.003Z,52.9,152.2,154.4
48,2022-01-22T08:55:50.193Z,46.3,160.5,169.5
49,2022-01-22T08:56:00.351Z,40.9,159.6,144.3
50,2022-01-22T08:56:10.524Z,43.9,154.9,171.1
51,2022-01-22T08:56:20.673Z,40.3,167.4,157.7
52,2022-01-22T08:56:30.892Z,52.9,153.8,144.6
